Periodo,TOTAL
1970,10750545
1971,11348347
1972,11900791
1973,12474170
1974,13141382
1975,13896558
1976,14743813
1977,15585744
1978,16740736
1979,17798951
1980,18771732
1981,19706206
1982,20497197
1983,21111476
1984,21335854
1985,21685038
1986,21836596
1987,21740943
1988,21680252
1989,21423507
1990,21325832
1991,21349235
1992,21487657
1993,21791398
1994,22160209
1995,22480724
1996,22698124
1997,22889279
1998,23128985
1999,23368247
2000,23565795
2001,23755909
2002,24153164
2003,24304397
2004,24634065
2005,24979618
2006,25380505
2007,25516150
2008,25603563
2009,25596861
2010,25666451
2011,25782388
2012,25891104
2013,25939193
2014,25980148
2015,25897636
2016,25780693
2017,25447467
2018,25226664
2019,25004004
2020,24400373
